Model,MAE_seconds,MAE_minutes,RMSE_seconds,RMSE_minutes,R2
Median Baseline,444.6805769495255,7.411342949158759,682.2603136106668,11.371005226844447,-0.07163113248331143
Mean Baseline,467.7984661294822,7.796641102158037,659.0640539910163,10.984400899850272,-8.14647468150298e-07
Linear Regression,277.9285507634445,4.632142512724075,410.0576524642325,6.834294207737208,0.6128895055374805
Histogram Gradient Boosting,185.76903246819816,3.096150541136636,297.32765702188357,4.955460950364726,0.7964759575709498
Log-target Gradient Boosting,181.28082611012445,3.0213471018354077,304.5217650800018,5.075362751333363,0.7865079144607172
