feature,importance_mae_seconds,std_seconds
distance_km,383.37231551768286,2.7717024201985865
pickup_hour,77.4099117095222,1.2271603532922386
lon_diff,30.56551025970802,0.0953627888533835
dropoff_latitude,28.941012569940927,0.6097791640821809
pickup_weekday,25.953608738860083,1.0740122784917692
lat_diff,18.96459764122531,0.09492273135776565
dropoff_longitude,15.962354011223644,0.05425899435249039
pickup_longitude,13.720069496326005,0.5193806646549838
pickup_latitude,11.589245484604191,0.08629774060039129
pickup_month,6.0011341916608485,0.34840858572856503
is_rush_hour,1.3768547880882427,0.21855041714457107
manhattan_coord_distance,1.1302900141575094,0.12954055015646737
passenger_count,0.854090777926037,0.020630112762679217
is_weekend,0.7665935146096388,0.10837043420064738
vendor_id,0.711814258976934,0.06014748353999849
store_and_fwd_flag,0.0,0.0
