band,trips,mae_minutes,median_ae_minutes,bias_minutes,actual_median
<5 min,43806,2.0006996222672804,1.7037996859517401,1.8930842384887718,3.6166666666666667
5–10 min,85965,1.9080709623329999,1.52643979613149,1.131193202658301,7.4
10–20 min,102330,2.7869371166342893,2.220487473466493,0.16920903885820424,13.85
20–30 min,36404,4.490281978144191,3.5695067871186703,-1.7505926108330037,23.7
30–60 min,20286,7.9052834269848224,6.271043741756053,-4.758384648193176,36.916666666666664
60–180 min,2049,19.422340447447684,14.059179454939681,-18.19151687227143,69.31666666666666
